28-09-2023 22:51:42 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET /catalogue/page--33.html HTTP/1.1" 404 153
28-09-2023 22:51:42 DEBUG    [all_books_page.py:11] Parsing page content with BeautifulSoup...
28-09-2023 22:51:42 DEBUG    [api.py:439] Encoding detection: ascii is most likely the one.
28-09-2023 22:51:42 DEBUG    [all_books_page.py:16] Finding all books using{AllBooksPageLocators.BOOKS}
28-09-2023 22:51:42 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
28-09-2023 22:51:42 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET /catalogue/page--34.html HTTP/1.1" 404 153
28-09-2023 22:51:42 DEBUG    [all_books_page.py:11] Parsing page content with BeautifulSoup...
28-09-2023 22:51:42 DEBUG    [api.py:439] Encoding detection: ascii is most likely the one.
28-09-2023 22:51:42 DEBUG    [all_books_page.py:16] Finding all books using{AllBooksPageLocators.BOOKS}
28-09-2023 22:51:42 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
28-09-2023 22:51:42 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET /catalogue/page--35.html HTTP/1.1" 404 153
28-09-2023 22:51:42 DEBUG    [all_books_page.py:11] Parsing page content with BeautifulSoup...
28-09-2023 22:51:42 DEBUG    [api.py:439] Encoding detection: ascii is most likely the one.
28-09-2023 22:51:42 DEBUG    [all_books_page.py:16] Finding all books using{AllBooksPageLocators.BOOKS}
28-09-2023 22:51:42 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
28-09-2023 22:51:42 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET /catalogue/page--36.html HTTP/1.1" 404 153
28-09-2023 22:51:42 DEBUG    [all_books_page.py:11] Parsing page content with BeautifulSoup...
28-09-2023 22:51:42 DEBUG    [api.py:439] Encoding detection: ascii is most likely the one.
28-09-2023 22:51:42 DEBUG    [all_books_page.py:16] Finding all books using{AllBooksPageLocators.BOOKS}
28-09-2023 22:51:42 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
28-09-2023 22:51:42 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET /catalogue/page--37.html HTTP/1.1" 404 153
28-09-2023 22:51:42 DEBUG    [all_books_page.py:11] Parsing page content with BeautifulSoup...
28-09-2023 22:51:42 DEBUG    [api.py:439] Encoding detection: ascii is most likely the one.
28-09-2023 22:51:42 DEBUG    [all_books_page.py:16] Finding all books using{AllBooksPageLocators.BOOKS}
28-09-2023 22:51:42 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
28-09-2023 22:51:43 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET /catalogue/page--38.html HTTP/1.1" 404 153
28-09-2023 22:51:43 DEBUG    [all_books_page.py:11] Parsing page content with BeautifulSoup...
28-09-2023 22:51:43 DEBUG    [api.py:439] Encoding detection: ascii is most likely the one.
28-09-2023 22:51:43 DEBUG    [all_books_page.py:16] Finding all books using{AllBooksPageLocators.BOOKS}
28-09-2023 22:51:43 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
28-09-2023 22:51:43 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET /catalogue/page--39.html HTTP/1.1" 404 153
28-09-2023 22:51:43 DEBUG    [all_books_page.py:11] Parsing page content with BeautifulSoup...
28-09-2023 22:51:43 DEBUG    [api.py:439] Encoding detection: ascii is most likely the one.
28-09-2023 22:51:43 DEBUG    [all_books_page.py:16] Finding all books using{AllBooksPageLocators.BOOKS}
28-09-2023 22:51:43 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
28-09-2023 22:51:43 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET /catalogue/page--40.html HTTP/1.1" 404 153
28-09-2023 22:51:43 DEBUG    [all_books_page.py:11] Parsing page content with BeautifulSoup...
28-09-2023 22:51:43 DEBUG    [api.py:439] Encoding detection: ascii is most likely the one.
28-09-2023 22:51:43 DEBUG    [all_books_page.py:16] Finding all books using{AllBooksPageLocators.BOOKS}
28-09-2023 22:51:43 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
28-09-2023 22:51:43 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET /catalogue/page--41.html HTTP/1.1" 404 153
28-09-2023 22:51:43 DEBUG    [all_books_page.py:11] Parsing page content with BeautifulSoup...
28-09-2023 22:51:43 DEBUG    [api.py:439] Encoding detection: ascii is most likely the one.
28-09-2023 22:51:43 DEBUG    [all_books_page.py:16] Finding all books using{AllBooksPageLocators.BOOKS}
28-09-2023 22:51:43 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
28-09-2023 22:51:43 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET /catalogue/page--42.html HTTP/1.1" 404 153
28-09-2023 22:51:43 DEBUG    [all_books_page.py:11] Parsing page content with BeautifulSoup...
28-09-2023 22:51:43 DEBUG    [api.py:439] Encoding detection: ascii is most likely the one.
28-09-2023 22:51:43 DEBUG    [all_books_page.py:16] Finding all books using{AllBooksPageLocators.BOOKS}
28-09-2023 22:51:43 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
28-09-2023 22:51:43 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET /catalogue/page--43.html HTTP/1.1" 404 153
28-09-2023 22:51:43 DEBUG    [all_books_page.py:11] Parsing page content with BeautifulSoup...
28-09-2023 22:51:43 DEBUG    [api.py:439] Encoding detection: ascii is most likely the one.
28-09-2023 22:51:43 DEBUG    [all_books_page.py:16] Finding all books using{AllBooksPageLocators.BOOKS}
28-09-2023 22:51:43 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
28-09-2023 22:51:43 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET /catalogue/page--44.html HTTP/1.1" 404 153
28-09-2023 22:51:43 DEBUG    [all_books_page.py:11] Parsing page content with BeautifulSoup...
28-09-2023 22:51:43 DEBUG    [api.py:439] Encoding detection: ascii is most likely the one.
28-09-2023 22:51:43 DEBUG    [all_books_page.py:16] Finding all books using{AllBooksPageLocators.BOOKS}
28-09-2023 22:51:43 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
28-09-2023 22:51:44 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET /catalogue/page--45.html HTTP/1.1" 404 153
28-09-2023 22:51:44 DEBUG    [all_books_page.py:11] Parsing page content with BeautifulSoup...
28-09-2023 22:51:44 DEBUG    [api.py:439] Encoding detection: ascii is most likely the one.
28-09-2023 22:51:44 DEBUG    [all_books_page.py:16] Finding all books using{AllBooksPageLocators.BOOKS}
28-09-2023 22:51:44 DEBUG    [connectionpool.py:244] Starting new HTTP connection (1): books.toscrape.com:80
28-09-2023 22:51:44 DEBUG    [connectionpool.py:546] http://books.toscrape.com:80 "GET /catalogue/page--46.html HTTP/1.1" 404 153
28-09-2023 22:51:44 DEBUG    [all_books_page.py:11] Parsing page content with BeautifulSoup...
